First Ending Sent,First Ending Kmeans Distance Metric,Second Ending Sent,Second Ending KMeans Distance Metric
Boris realized he was wasting his life.,2.503611588338127,Boris decided to wear the dress.,2.8250698914982455
The police officer had to give up his badge and gun.,3.0587313207124764,The police officer eventually got better.,2.8711940098188857
"When Nathan returned, he felt very happy for the exercise.",2.4341522842922823,"When Nathan returned, his mom apologized for being so mean.",2.2064291069940825
Gary's parents were relieved to find him.,2.5784564929428933,Gary's parents were disappointed to find him.,2.651614238614969
Timmy was promoted for working so much all the time.,2.6783558067261675,"Timmy then had to find another job,",2.4866538378382073
My time with the minister was very useful.,2.369972546663421,My favorite card game was poker.,2.188600190762417
Amber enjoyed a relaxing two hour brunch.,2.635249724801505,Amber was so hurried she left the list at home.,2.334382095474431
She bought a new couch to replace it.,2.1907601184317333,Eve thought the couch was very comfortable.,2.423701060587663
He found a very large spider there.,2.2705494825158725,Jason took a hot shower.,2.522111837552987
Her boss fired her the next day.,1.7178736913458632,Linda and the coworker ended up being best friends.,1.6303190559981156
All of the presents were wrapped and stored for the holidays.,2.064406259398867,She returned all of the presents for cheaper ones.,2.020036617343554
She was able to get off drugs after some time.,2.248178569477134,"When she arrived, she did drugs all day.",2.4086298675875426
He is thrilled about his new responsibilities at work.,2.6970134137919404,He realizes he might have to apply for public assistance.,2.4703139648536436
Bobby had a good party.,2.4106626445579753,Bobby was mad at his friends.,2.5283767102929793
We want to revisit someday.,2.594614595559032,We all vowed to never go back again.,2.494290123698833
The clothes were filthy and unfolded.,1.704536687509455,They then put their clothes up neatly.,1.7021360196657267
Timmy went to the mess hall for breakfast.,2.3646930050377244,Timmy spent all day cleaning so he could watch tv.,2.1725285509934293
My daughter was disappointed.,2.7250283541560907,My daughter was excited.,2.675901676738939
Pam was a lousy hostess.,2.5715663252986305,Pam was a good hostess.,2.3898723179238632
Ellen liked the negative attention.,2.665012009118912,Ellen was appalled.,2.6154422429678457
Jim decided to devise a plan for repayment.,2.284206081552072,Jim decided to open another credit card.,2.214391722226531
The judges vomited from the taste of the donuts.,2.2562353919941334,Tim won the baking contest.,2.1667439305261533
Now I don't try to make him wear training pants.,2.2490890374583024,Child protection services removed him from the home.,2.661199330648601
She went outside to fly a kite.,2.6535444744270253,She was relieved that it didn't hit anything.,2.4264312969732504
It broke and Jill felt dumb for believing the hype.,2.5774832556638105,"The cloth ripped in two, much to Jill's surprise.",2.535900015502658
Addie was put in jail for her crime.,2.406941605397946,Addie was relieved and took deep breaths to calm herself.,2.7173854499350902
The manager hoped Sean would perform badly.,2.0793990665858835,The manager wanted Sean to understand everything.,1.9322927791367075
Fred cancelled the bet at the end of the month.,1.879305913925985,"Fred ended up winning the bet, and the $100.",1.8481017290958333
John loved every second of the skydiving trip.,2.352649500574767,"When he woke up, he had already landed.",2.4600234945134916
Gina hated her grandma.,2.3758393968942513,Gina loved her grandma.,2.3209297618492974
She couldn't resist so she bought the antique vase.,2.673150640523951,It was kind of expensive but she decided it was worth it.,2.678915028524705
It had been a very fun day.,2.178990821972432,Tyler felt like his parents never let him do anything.,2.36136771287714
"After all his practice this week, Jimmy has learned a new trick.",2.827212478083667,Jimmy has decided to give away his skateboard.,2.9488536974445108
Maxine doesn't want to go on the date.,2.2557985603630337,Maxine gets laser removal next time.,2.372179654698016
Ryan loved how his bike looked.,2.346303106963663,Ryan decided not to ride his bike anymore.,2.6844269650219537
The sauce burned and stuck to the bottom of the pan.,2.0202022011718554,It took forever for the sauce to heat up.,2.057308641928686
Nick beat his girlfriend and she gave him the five dollars.,2.5274174916511774,Nick gave up because he didn't care if his girlfriend won.,2.499056260542284
We felt pleased with our performance.,2.520655211483229,We felt we had performed badly.,2.3740454402563937
Michelle gave the cat to her neighbor.,2.2588802021376577,"Michelle named the cat, ""Socks.""",2.520772439092584
Neil decided never to return to Ireland.,3.1340319537734973,Neil enjoyed Ireland.,2.901890238494598
Mary was happy to be showing off her dress.,2.3494440643691568,Mary was upset that her dress was ruined.,2.309042143231837
Scott gave him a high five.,2.391860110397646,Scott apprehended the perpetrator.,2.1154147509009147
Colin stuck to his budget and only drank 2 beers.,2.5118402786642164,Colin drinks beer at the bar all night.,2.7403722283818976
Jordan knew some conversational Spanish by the time he moved.,2.494731111090594,Jordan didn't like fish tacos at all.,2.885646027165035
He never worked out again.,2.291066918726072,He was happy with his decision.,2.570066979940685
She finally got her chance to play in the match.,2.3461953398888977,She asked the coach to find someone else.,2.407123262046275
The doctor told Tim that Emily went for a run.,2.793127530951556,The doctor told Tim that Ellen was finally pregnant.,2.549338492037118
David ate a cheeseburger.,2.5402023100262228,David promised to be more careful in the future.,2.3900244113873064
Neil played baseball.,2.661413405204911,Neil played in the competition.,2.719374836929603
Cam has since decided to insure his belongings.,2.7252154675779496,"Afterwards, Cam was able to sell more books than he ever had.",2.4062588185857514
Rosie's teacher loved the gift.,2.2269870585022353,Rosie's teacher gave her detention.,2.2752522830546007
The man is furious.,2.946594113351582,Ebay is a very reputable company.,2.5079568751970034
"It cost a lot of money, but he got it repaired.",2.9690150362086425,Tom knew it would be expensive to repair his boat.,2.846610277488532
Harry didn't like theme parks.,2.3707166325657183,Harry had a great time at the park.,2.225691873550388
My teacher suggested I pursue art school.,2.3399555483250487,The teacher agreed to discuss it with me.,2.2180520525745107
Leah was very happy to hear the news.,2.907335057799366,The game was canceled.,3.0627982826247497
She decided to buy more toothpaste.,2.3641451744157123,She was happy to see her wrinkles were gone.,2.201887754768543
"Annoyed, he contacted the retailer to complain about the damage.",2.0770308249090705,Harry spent the evening happily taking pictures.,1.9537562800680806
Jasper quits his job the next day.,2.479515209474887,Jasper enjoys cutting dead animals.,2.7404162715740954
I couldn't wait for my friends to leave.,2.3613273114756983,I loved throwing parties.,2.465391615955799
He finally received a job offer.,2.032197080305138,Tom was sad about leaving his miserable job.,1.7792435571853256
Paul was furious with his mom.,2.688287337787866,Paul got a job.,2.510507637996435
"Harvey choked, and lost every match he played.",2.327976427552296,They all sat with their mouths open as Harvey beat them all.,2.402366060733798
I then realized that I was not good at math.,2.6587751394751176,Then I knew that I was great at math!,2.687054261090769
They bought another red car.,2.0882897007664685,My parents bought matching mopeds.,2.144075554847438
She acted like a brat and threw a tantrum.,2.4060416783952028,Gina doesn't care about electronics.,2.5230050622327242
I realized I needed noise to sleep.,2.778342269081618,I realized it had only been the wind.,2.7763663167088453
Gina and her mother went immediately.,2.9862747289240965,Gina decided to walk instead.,2.9900495874059354
He then went to sleep.,2.864074931852876,He now loves to go hunting.,2.762574202465135
Jay thought Burger King was awesome.,2.5531808670075047,He'd dug in the trash for nothing.,2.453908762836207
John was a troubled worker.,2.16092319064187,John was an outstanding worker.,2.193314606207979
Kev was excited to try out his new gun.,2.4068880265409422,Kev decided not to come hunting.,2.1315402136628294
Emily decided she didn't want the concert ticket.,1.8376948178091466,This was the best birthday gift Emily had ever had.,1.8982761543731517
Lina hated donuts.,1.9799490405829732,Lina loved her new job.,2.0476314938079234
I was invigorated when I got home.,2.7231890810518715,I was tired when I got home.,2.811701512380637
The new forum was theirs to rule.,2.335242989704017,They returned to the forum later because they liked it so much.,2.3867598905063003
Donna had a much easier time because Ty was asleep.,2.132255688887784,Donna wished I would wake up.,2.234687437679521
Gina was angry that she went to the library.,2.4893154850839245,Gina felt more calm once she arrived in the library.,2.5694011251302764
Vivienne soon received her visa in the mail.,2.7750190111595603,Vivienne was not granted a visa.,2.6000883913078647
Frank enrolled in a marine biology class.,2.9883455646829082,Frank bought a water gun the next day.,2.703104050928669
Gina's family was glad that their toothbrushes weren't packed.,2.550918702522998,Gina felt guilty about forgetting everyone's toothbrushes.,2.6973599792185303
John commented on how badly run he thought the place was.,2.0208576695958165,The manager decided to offer John the job.,1.9247119312829162
Ben made freshly squeezed orange juice from the oranges.,2.539844716125898,Ben sipped his apple juice contently.,2.6787274475174305
Reg hoped it would never snow again.,2.534159474362492,Reg hoped he would get another snow day soon.,2.3963278115851647
Caroline refused to open the soda.,2.3385195045188354,Caroline opened the soda and drank it all in one gulp!,2.3215893262505234
Tom got up and went for a swim.,2.555080323926205,Tom enjoyed the roasted marshmallows.,2.255556900533197
He promised to pay her back.,2.684791997162578,Bob ran away in terror.,2.7511644352765905
John did not have a gun.,2.9974662968214623,John was surprised.,2.9490159037510058
Neil was not interested in Egyptian history.,2.9168060827177262,Neil had an amazing educational and cultural experience.,2.8651982550466477
John knew his papaya farm needed new capital investment.,2.43043197139307,"John ate, but told his mom that he never wanted to eat it again.",2.050508903927617
All my socks were accounted for.,3.070467635301766,Eventually it turned up.,3.2596859566319667
Alex next ran for a seat on the school board.,2.8683178293685683,Alex resolved to always check his shoelaces before leaving.,2.7862124936771893
The people watching him congratulated him.,3.084655969548791,And thus Sal gave up on magic.,2.8008514298426865
Javier went to the convenience store after school.,2.8574997168075305,Javier began playing handball with them regularly.,2.554346985499533
He bought a big package of AA batteries.,2.7010012546873687,He bought another remote control car for himself.,2.5976135171635546
Mim pulled back onto the road and drove faster to make up time.,2.5743637831770636,Eventually it stopped snowing.,2.707363421974811
We brought home six bags of items.,2.7412671500859878,We went home without buying anything.,2.612257778906965
The swing was pulled around violently in the wind.,2.4594051491416247,Her fear melted away as she swung.,2.3083712529240725
The Malamute's owner never took him to the slide again.,2.6497674050954307,The Malamute eventually tried to slide down the slide.,2.5453582418571723
Tim was very happy to be remembered.,2.7555630569031777,Tim was annoyed by the attention.,2.8441602391731373
Frankie went to see a movie.,2.3832037053507253,Frankie found another man.,2.220943377514997
Nancy caught the pie and began to eat it.,2.751276032980748,Nancy began to cry and felt humiliated.,2.7865199998331533
He eagerly applied for it and was ultimately hired.,1.9659484001812433,So he decided to go home early that day and quit his internship.,2.1713975179430145
Kevin bought a house.,2.336923115664462,Kevin used the money that he had saved to buy a sports car.,2.381283483989015
Joe went for a run on the beach.,2.62389337968931,Joe asked the accountant what happened.,2.1698346681049756
Sven was caught and jailed shortly after.,2.3328888897595244,Sven donated the money to charity.,2.1877201816047576
John eventually beat the cancer.,2.114319487133023,John hoped he would not get well.,2.303285805492174
He stayed heart attack free for the rest of his life.,2.1661927899150886,Matt celebrated leaving the hospital with a large steak.,2.070493056900953
The cats made a mess out of the house!,3.1385345735388075,"Both dogs enjoyed playing together, anyway.",2.7111934967521423
I had a hard time falling asleep that night.,2.5649579299190703,Overall I was dissatisfied with the night.,2.5780004720390286
"Louie walked across the sandy beach, lonely.",2.164773742898771,The dogs seemed happy to stay together.,2.582226742986247
She started losing weight.,1.6548752178458952,She gained 50 pounds.,1.890214425267223
I decided to throw the ring away.,1.9680814175400756,It came out sparkling.,2.080422524393735
Gina stopped volunteering because she felt unappreciated.,2.7031432363582786,Gina was so touched she cried when they gave it to her.,2.6409067308753005
Gina continued to stare.,2.8119356825463897,Gina was disgusted.,2.860384483805812
Pamela received a full refund and a free urn for her troubles.,2.3906028907285486,Pamela was happy about her purchase.,2.4762952472272706
Jane was happy she had to stay and clean the office.,2.2043267835046736,Jane was disappointed she had to stay and clean the office.,2.2930934072187177
We will never rent from that car company again.,2.5114708316140346,We look forward to renting from that same car company again.,2.5444488969134214
Frank will save about $25 a week making coffee himself.,2.8794048660503604,Frank switched to tea and donated the coffee maker.,2.887046777529956
I had to call to find out what was going on.,2.4966847435291046,I was happy with his service.,2.6700518560323654
Dad and I love popcorn.,2.8487280369753396,Dad and I hate popcorn.,2.9083162591705216
Lou was finally able to lose weight.,1.9166408947410603,Lou decided she had lost enough weight.,1.866184484296542
Betsy felt really bad for the rest of the night.,2.4643685304196588,Betsy wore the monogrammed necklace when she turned 14.,2.217734586858108
"When the time comes for her to sing, Joy faints.",2.5626631662009673,Joy's juggling act delights all.,2.7716512800777955
She threw the wig into the trash.,2.1783159270370467,She gave the wig to her sister.,1.9953204730972267
I really enjoyed having my party with friends.,2.7002562797386895,I was able to catch the snake and get it out of my house.,1.9835906974780695
She had the worst nightmare of her life.,2.306339313238139,She fell soundly asleep.,2.2547106852606658
Jane decided not to participate in psychology experiments anymore.,2.111603024080007,Jane was finally able to earn extra money.,1.9835211008592306
"Finally, all of his number were read and Jay had won.",2.6172436503954617,He decided to stop watching and threw his ticket away.,2.8219232432684684
James was worried because he beat his boss at ping pong.,2.265950534787166,"So, James bought a ping pong table to practice at home.",2.2264312896372283
She decided to watch a movie on Netflix instead.,1.6496384101519914,Joyce decided to buy a cookie instead.,2.1169225574566433
Lester's team plays against the other school's basketball team.,2.3253652270765643,The other school wins by a huge margin over Lester's team.,2.3408469273077364
Jessica was disappointed because she wanted a real pony.,2.2117584900482288,Jessica loved the puppy she got from her dad.,2.3382241961791808
Sal hated the brace.,2.6983976139080026,Sal was glad he decided to jump rope.,2.43556496458315
Julie makes lunches for her son who is allergic to eggs.,1.8262522278082,Julie gets busy making lunches using the boiled eggs.,1.6358033987109448
I enjoyed visiting the zoo.,2.1090115007633647,But I didn't like zebras.,2.161151255364651
Bob was very happy about this.,2.324698677806813,This made Bob sad.,2.3366609449394096
Jennifer decided to save up for a car so she could avoid the bus.,2.743893981965206,"Jennifer's cat came home the next day, acting very hungry.",2.489801537887553
Peter was mad at his friend.,2.7066781546671073,Peter was happy his friend gave him food.,2.581267502911918
Dan never liked to bowl anyway.,2.8633752971428823,Dan now bowls often to remember his father.,2.623249467670889
Billy was very methodical.,2.3618182786560635,Billy was very disorganized.,2.383804939852435
Bob stopped talking to those friends.,2.3582508737582604,Bob had a great time.,2.2115500062417994
Mike never liked Jeeps.,2.5068608641792474,Mike bought the Jeep.,2.3219324706504025
Fred came in last place in his karate tournament.,2.5270870454344063,He came in second place.,2.595964332672592
He broke all of the pots he made.,2.3484214769286504,He was very proud of his pots.,2.367866550254156
Joe decided to get some ice cream at the store.,2.813298175446004,Gina's sister had to go to the hospital for stitches.,2.4635822202170914
I now play twice as much.,2.2104929279458974,I no longer play the lottery.,2.107425786547731
The librarian kicked the man out.,2.093199376821327,The librarian thanked the man.,2.2127252439847838
She researched methods of lawn care that took less water.,2.561847563238123,Quinn's yard flourished under the heavy rains.,2.4738056712894085
Pizza was first made in Italy to represent the colors of the flag.,2.7650072989423897,We'll be going back there often.,2.8661624479475596
Cheryl made more money turning tricks than at her full-time  job.,3.1656479801283766,Cheryl loved the dog and prayed he would get better.,2.863605494867798
Bob hates tattoos.,2.470354954665309,Bob's girlfriend really liked his new tattoo.,2.290152312602763
Dan decided to call his old girlfriend.,2.5622492225240268,Dan was no longer lonely.,2.5748111972341636
Shawn missed Jane every day.,2.5774964212755203,Shawn was happy Jane was dead.,2.572440007194497
Mary was always trying to make Gina happy.,2.4961498401563698,Gina's mother had to call Mary's mom to complain.,2.4218384662902235
Bob will be careful that he never eats at that restaurant again.,2.1839111562439246,Bob's decision to embezzle from his employer was a mistake.,2.341293470507466
Tim felt great.,2.8366680779107263,Tim was happy for me.,2.798641317644658
Kim was glad people were inspired to imitate her.,2.4043715704699027,Kim asked her friends if they wanted to go to Starbucks.,2.5877564092170213
Ben decided to retire.,2.0592863782699835,But then he did find a job.,1.7896837775680265
The teacher gave Gina her phone back.,2.4647255283025467,Gina's father agreed to pick up the phone for her.,2.537768678436406
I found that playing Santa was not worth my time off.,3.065661716118348,I found that playing Santa was the best second job ever.,2.948824595269795
"He was a little mad, but I just laughed.",2.902014302609305,He never did understand the best way to fry an egg.,2.965233333760073
Candice gave the money to her mom.,1.8385401630309164,Candice bought a new purse.,2.047619047621591
We were pleasantly surprised!,2.435503266278383,We were scared!,2.4168606287382137
Cara threw a party to celebrate.,2.2996687262727513,Cara sat alone and cried.,2.313425162736718
Ellie ate the fish.,1.8915907640826963,Ellie thought it looked great.,2.1732531347419153
Juan was always impatient.,2.691770972467072,Juan was hardworking and patient.,2.663802269847547
Jim and Tim become good friends.,3.151914729258804,Then Jim shot Tim.,3.057206215841341
I made the cookies.,2.891952418822618,I made roasted pork.,2.990981397068827
Sal was excited to be an instant millionaire.,2.232215907171942,Sal decided to keep buying lotto tickets each week.,2.281110980641505
Harry decided math would be a great topic for a video game.,2.5918761560796324,Harry finally overcame the distraction and returned to his math.,2.5713937517215264
John was relieved.,2.0365206791912134,John was very upset that the ice melted.,1.587380890089107
"Sadly, the concert was canceled due to sickness.",2.620968836577273,They had a great time at the museum.,2.612926520621512
He was relieved.,2.848406714358032,Rex did his first ever cartwheel that day.,2.416526295122612
Judy and the son arrived shortly before Hal.,2.3329679221637543,Hal turned around and went back to the old house to live alone.,2.4298296166514923
Joe and Tim stayed friends online.,2.455851015972544,Joe then punched Tim.,2.4564273584895515
Jenny's boss gave her a raise.,2.1411699189557827,Jenny was worried her boss would fire her.,2.1357688386183944
John ended up having the most.,2.65437508338527,John then went golfing.,2.7414599237503574
Brandon checked the next day and found 50 cents under his pillow.,2.457702267668468,Brandon bought a bar of chocolate.,2.6190109410733857
Kelsi had no interest in the pool her parents bought.,2.492768861840679,Kelsi loved her new pool.,2.3466593128884576
The taste was worth the price.,2.5596077483385353,Rick had so much money left.,2.42628157255979
Ann and Tori continued to shop.,2.64731493154545,Ann and Tori decided to stop shopping and work out the issue.,2.7546247099707633
Amy threw the instrument on the floor.,2.5003827652842667,Amy gave a wonderful performance.,2.5977565369465867
Joe left his son unattended to move to florida.,2.735699186221278,Joe's son did not stop laughing for hours.,2.819121073147788
Gina's father grounded everyone for a month.,2.446422842874151,Gina's father was proud.,2.449591183729252
She refused his help and walked away.,2.69670550982796,They ended up going on a date that night.,2.941508205289955
Samuel could not read.,2.6107869892546254,He loved it!,2.5063984713485796
David hoped to play really well.,2.854684273892061,David really didn't care about that game.,2.970184490245497
Tad was seriously injured.,3.0365444405716047,Tad's car was in great shape.,2.964959309701107
Paisley decided to break up with Danny after the picnic.,2.2131476893989266,Danny was happy he could share the picnic date with her.,2.2410013149717924
I decided to glue the hair back on.,2.044161023356573,I decided to get it waxed.,2.1166033912240234
Oatmeal became my favorite food.,2.6349944292411687,I hated oatmeal and didn't eat it anymore.,2.662151142336434
He was very full.,2.7636924581946385,Charles mother was very angry.,2.6388089267204884
Kelly was unhappy.,2.6430246362803618,Kelly did not know how to read.,2.4760390232568334
She was happy that she didn't have to wear a vest anymore.,2.086542251215124,She was upset that she didn't have to wear the vest anymore.,2.063503732551208
His son got just what he wanted and was quite happy.,2.4556527610184657,His son was bewildered when he unwrapped a dollhouse.,2.476786816817035
She was proud of her body.,2.4650331991089622,She hired a personal trainer to help her meet her goals.,2.348920676501251
Kurtis trembled with fright.,2.5409947882324806,Kurtis laughed and danced around the campfire.,2.2850511882266185
He had always wanted to go surfing under the California sun.,2.565392278478151,His favorite moment was when he got to feed a baby koala bear.,2.4846733802886574
Joe was happy Jeb loaned him the money.,1.9453841929155578,Joe got a job so he wouldn't have to borrow the money.,1.9530557279076852
Her sister came and apologized.,2.2121793173200746,Gina thought it was really funny.,2.302354678773121
Ann felt insulted by the lady's offer.,2.3311346176885315,Ann came inside and watched as cakes were being made.,2.0466807752169776
Kelly was glad she tried new flavors.,2.225858034834526,She threw up.,2.6612123956973655
Rory had to buy a school lunch that day.,2.4424094901187448,Rory at the sandwich.,2.5396193832174014
The boy bought a bicycle.,2.8706571295378236,They bought the car.,2.4725794748262437
Her dad caught them and scolded them for sneaking out.,2.7090909126090805,Her dad greeted them warmly as they arrived from their trip.,2.9115325922837547
It became too hot and dry for Tory to go out.,2.732529838465969,"Tory had to wait a while to buy his AC unit, but it was cooler.",2.806393385792913
I put it in the middle of the room like my mom suggested.,2.802564452323951,I put it on the night stand in the corner.,2.8351995491840203
"After a few years, the States decided to return to England.",2.2735575341443863,The war was called the American Revolution.,2.3939054213706594
Cole was upset that all of his vegetables went to waste.,2.4014684702102356,All the members signed a Thank You card for Cole.,2.6981664410393025
I decided to watch movies all night.,2.4389351933742867,I had an early night.,2.3412841527161605
Bob was dazed and had a cut on his forehead!,2.1001725516681624,"After that, Bob was nervous about going horseback riding.",2.090230139625302
I was upset when I lost all my money.,2.564653326351385,I was glad I hadn't spent much money on the slot machines.,2.408472683943222
"She asked her father, because he had always been great to her.",2.604396817557045,"She decided to ask her brother, who was honored to do so.",2.5831036194218018
Austin went to the park and played with his dog.,2.6492496391247995,Austin painted several pictures similar to what he had seen.,2.3198558925423507
I will continue playing chess and hope for qualified opponents.,2.8115150526287946,I think I will start playing football.,2.9360708621994887
Izzy is heartbroken.,2.2208302020206134,Izzy is happy.,2.3228544095341146
Eventually Larry got stronger.,1.9690635309952755,Larry was ashamed of what he had done.,2.317037248772755
He got a call a few days later saying that he got the job.,3.037271948627442,My roommate then got a call saying he was fired.,3.0776634028244985
The soccer team congratulated her and gave her a spot on the team.,2.6186250850288846,"Naturally, she was not accepted to the soccer team.",2.492544855720006
Leeza was in pain.,2.5550332259193995,Leeza was having fun.,2.7128656923015675
He went back to reading his book.,2.3342331739580837,What had been pressed between the pages was a four-leafed clover!,2.5881103386281077
Gina fixed herself some lunch.,2.6420881232995868,Gina found the handle on the washing machine.,2.4566058392881103
I am dishonest.,2.7208356031077536,I am honest.,2.7264221089003264
He hoped that she never came back.,1.8502582165481434,A year later she returned.,1.9207379611693114
Oliver was sick of his friend's unwanted advice.,2.7554316000226033,Oliver was grateful to his friend.,2.7795659447391445
Tommy decided to ask the girl for a date.,2.402650244305549,Tommy was really embarrassed.,2.5468742506691826
The dogs attacked the people.,3.0058143056275366,"A good time was had by all, even the dogs.",3.0144736453716945
We wanted to miss the leopards.,2.345332124727877,We wanted to see a leopard.,2.341599791339772
Albert saved the day.,2.822876663295957,Everyone was angry with Albert.,2.9096485353722685
Then they all went home.,2.7038014599117632,Sam and John ran from the group of boys.,2.6138379308898263
Tina is well rested.,1.8862564046843422,Tina is more tired than ever before.,1.8081965992604867
Jaris picked flowers from a state park.,2.189691387481914,Jaris got in trouble and apologized profusely.,2.684857689756714
I want my daughter to stop being a Christian.,2.7993922322555127,I want my daughter to have a spiritual life.,2.7549627160757195
He was very proud of all his hard work.,2.6158034880664984,Micky was very disappointed.,2.204672358417602
Amy told Kim she was a big loser.,1.8211586087054066,They decided never to let a guy come between them.,2.4393894074660336
Lauren's husband was glad to see her feeling refreshed.,2.381099635643321,Lauren wishes she took the bus home.,2.266662983371093
He was so glad.,2.642469380046407,He yelled for his dad.,2.560915930431196
The boy decided to go swimming.,3.0472474795158773,He was shot by members of the other team.,2.8821747100674657
It helped her a lot.,2.6722531294413088,Celina has no feet.,2.5650447237261416
The River Shannon was beautiful.,2.5080054292672127,That Neil was very stupid.,2.7369120829155666
The team asked Jay if they could have burgers instead.,2.099300966963236,The team devoured the pizza and thanked Jay.,2.161885031960217
Rachel went home and put the eyeliner on.,2.7035559247563974,Rachel threw the eyeliner into the trash.,2.6566926951670418
She moves to the desert.,2.495156380281425,She is happy when it rains now.,2.0980324848931513
Derek was happy to finally be out.,2.6423749121765487,Derek did not want to leave.,2.5325435257984683
